Autor,Nombre,Link
Eugene Ionesco (1912-1994) Dramaturgo francés de origen rumano.,Eugene Ionesco,https://es.wikipedia.org/wiki/Eug%C3%A8ne_Ionesco
Helen Keller (1880-1968) Escritora y conferenciante estadounidense.,Helen Keller,https://es.wikipedia.org/wiki/Helen_Keller
Walt Whitman (1819-1892) Poeta estadounidense.,Walt Whitman,https://es.wikipedia.org/wiki/Walt_Whitman
William Blake (1757-1827) Poeta y pintor inglés.,William Blake,https://es.wikipedia.org/wiki/William_Blake
Nelson Mandela (1918-2013) Abogado y político sudafricano.,Nelson Mandela,https://es.wikipedia.org/wiki/Nelson_Mandela
Alberto Moravia (1907-1990) Alberto Pincherle. Escritor italiano.,Alberto Moravia,https://es.wikipedia.org/wiki/Alberto_Moravia
Louis Pasteur (1822-1895) Químico y microbiólogo francés.,Louis Pasteur,https://es.wikipedia.org/wiki/Louis_Pasteur
Paul Géraldy (1885-1983) Poeta y dramaturgo francés.,Paul Géraldy,https://es.wikipedia.org/wiki/Paul_G%C3%A9raldy
Bernard Le Bouvier de Fontenelle (1657-1757) Escritor francés.,Bernard Le Bouvier de Fontenelle,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Bernard+Le+Bouvier+de+Fontenelle&go=Go&ns0=1&ns100=1&ns104=1
Vincent Van Gogh (1853-1890) Pintor postimpresionista holandés.,Vincent Van Gogh,https://es.wikipedia.org/wiki/Vincent_van_Gogh
Pitigrilli (1893-1975) Escritor italiano.,Pitigrilli,https://es.wikipedia.org/wiki/Pitigrilli
Wayne W. Dyer (1940-2015) Escritor estadounidense.,Wayne W. Dyer,https://es.wikipedia.org/wiki/Wayne_Dyer
Thomas De Kempis (1380-1471) Teólogo alemán.,Thomas De Kempis,https://es.wikipedia.org/wiki/Tom%C3%A1s_de_Kempis
John Locke (1632-1704) Filósofo inglés.,John Locke,https://es.wikipedia.org/wiki/John_Locke
Charles Bukowski (1920-1994) Escritor estadounidense.,Charles Bukowski,https://es.wikipedia.org/wiki/Charles_Bukowski
Carl Gustav Jung (1875-1961) Psicólogo y psiquiatra suizo.,Carl Gustav Jung,https://es.wikipedia.org/wiki/Carl_Gustav_Jung
Alfred Victor de Vigny (1797-1863) Escritor francés.,Alfred Victor de Vigny,https://es.wikipedia.org/wiki/Alfred_de_Vigny
Enrique Tierno Galván (1918-1986) Político e intelectual español.,Enrique Tierno Galván,https://es.wikipedia.org/wiki/Enrique_Tierno_Galv%C3%A1n
Jean-Baptiste Racine (1639-1699) Poeta trágico francés.,Jean-Baptiste Racine,https://es.wikipedia.org/wiki/Jean_Racine
Peter Alexander Ustinov (1921-2004) Actor estadounidense.,Peter Alexander Ustinov,https://es.wikipedia.org/wiki/Peter_Ustinov
Georges Duhamel (1884-1966) Escritor francés.,Georges Duhamel,https://es.wikipedia.org/wiki/Georges_Duhamel
Sándor Márai (1900-1989) Escritor húngaro.,Sándor Márai,https://es.wikipedia.org/wiki/S%C3%A1ndor_M%C3%A1rai
Plinio el Joven (62-113) Escritor romano.,Plinio el Joven,https://es.wikipedia.org/wiki/Plinio_el_Joven
Friedrich Hegel (1770-1831) Filósofo alemán.,Friedrich Hegel,https://es.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel
Fernando de Rojas (1465-1541) Escritor español autor de La Celestina.,Fernando de Rojas,https://es.wikipedia.org/wiki/Fernando_de_Rojas
Ana María Matute (1926-2014) Novelista española.,Ana María Matute,https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Matute
Herni Dominique Lacordaire (1802-1861) Sacerdote y predicador francés.,Herni Dominique Lacordaire,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Herni+Dominique+Lacordaire&go=Go&ns0=1&ns100=1&ns104=1
"T. S. Eliot (1888-1965) Poeta, dramaturgo y crítico literario.",T. S. Eliot,https://es.wikipedia.org/wiki/T._S._Eliot
Benito Pérez Galdós (1843-1920) Escritor español.,Benito Pérez Galdós,https://es.wikipedia.org/wiki/Benito_P%C3%A9rez_Gald%C3%B3s
John Lennon (1940-1980) Cantante y compositor británico.,John Lennon,https://es.wikipedia.org/wiki/John_Lennon
Charles Chaplin (1889-1977) Actor y director británico.,Charles Chaplin,https://es.wikipedia.org/wiki/Charles_Chaplin
Carlo Dossi (1849-1910) Escritor italiano.,Carlo Dossi,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Carlo+Dossi&go=Go&ns0=1&ns100=1&ns104=1
Mateo Alemán (1547-1613) Novelista español.,Mateo Alemán,https://es.wikipedia.org/wiki/Mateo_Alem%C3%A1n
Pietro Metastasio (1698-1782) Poeta italiano.,Pietro Metastasio,https://es.wikipedia.org/wiki/Pietro_Metastasio
Jean Paul (1763-1825) Escritor y humorista alemán.,Jean Paul,https://es.wikipedia.org/wiki/Jean_Paul
Demócrito de Abdera (460 AC-370 AC) Filósofo griego.,Demócrito de Abdera,https://es.wikipedia.org/wiki/Dem%C3%B3crito
Alain (1868-1951) Filósofo y ensayista francés.,Alain,https://es.wikipedia.org/wiki/Alain
Ninon de Lenclos (1620-1705) Cortesana francesa.,Ninon de Lenclos,https://es.wikipedia.org/wiki/Ninon_de_Lenclos
James Russell Lowell (1819-1891) Poeta y escritor estadounidense.,James Russell Lowell,https://es.wikipedia.org/wiki/James_Russell_Lowell
Salomón (970 AC-931 AC) Rey de Israel,Salomón,https://es.wikipedia.org/wiki/Salom%C3%B3n
Alexis Carrel (1873-1944) Biólogo y médico francés.,Alexis Carrel,https://es.wikipedia.org/wiki/Alexis_Carrel
Lin Yutang (1895-1976) Escritor y filólogo chino.,Lin Yutang,https://es.wikipedia.org/wiki/Lin_Yutang
"Théophile Gautier (1811-1872) Poeta, crítico y novelista francés.",Théophile Gautier,https://es.wikipedia.org/wiki/Th%C3%A9ophile_Gautier
Ludwig van Beethoven (1770-1827) Compositor y músico alemán.,Ludwig van Beethoven,https://es.wikipedia.org/wiki/Ludwig_van_Beethoven
Jean Anouilh (1910-1987) Escritor y dramaturgo francés.,Jean Anouilh,https://es.wikipedia.org/wiki/Jean_Anouilh
Ramón de Campoamor (1817-1901) Poeta español.,Ramón de Campoamor,https://es.wikipedia.org/wiki/Ram%C3%B3n_de_Campoamor
Esopo (S. VII aC-S. VII aC) Fabulista griego.,Esopo,https://es.wikipedia.org/wiki/Esopo
Samuel Butler (novelista) (1835-1902) Novelista inglés.,Samuel Butler,https://es.wikipedia.org/wiki/Samuel_Butler
Emily Dickinson (1830-1886) Poetisa estadounidense.,Emily Dickinson,https://es.wikipedia.org/wiki/Emily_Dickinson
Doménico Cieri Estrada (1954-?) Escritor mexicano.,Doménico Cieri Estrada,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Dom%C3%A9nico+Cieri+Estrada&go=Go&ns0=1&ns100=1&ns104=1
Eurípides de Salamina (480 AC-406 AC) Poeta trágico griego,Eurípides de Salamina,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Eur%C3%ADpides+de+Salamina&go=Go&ns0=1&ns100=1&ns104=1
Milan Kundera (1929-?) Novelista y ensayista checo naturalizado francés.,Milan Kundera,https://es.wikipedia.org/wiki/Milan_Kundera
Anthelme Brillat-Savarín (1755-1826) Gastrónomo y escritor francés.,Anthelme Brillat-Savarín,https://es.wikipedia.org/wiki/Jean_Anthelme_Brillat-Savarin
Rainer María Rilke (1875-1926) Escritor austríaco.,Rainer María Rilke,https://es.wikipedia.org/wiki/Rainer_Maria_Rilke
Georg Simmel (1858-1918) Sociólogo y filósofo alemán.,Georg Simmel,https://es.wikipedia.org/wiki/Georg_Simmel
Juan Rulfo (1917-1986) Novelista y cuentista mexicano.,Juan Rulfo,https://es.wikipedia.org/wiki/Juan_Rulfo
Charles Caleb Colton (1780-1832) Poeta inglés.,Charles Caleb Colton,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Charles+Caleb+Colton&go=Go&ns0=1&ns100=1&ns104=1
Jorge Bucay (1949-?) Escritor y psicoterapeuta argentino.,Jorge Bucay,https://es.wikipedia.org/wiki/Jorge_Bucay
Agatha Christie (1891-1976) Novelista inglesa.,Agatha Christie,https://es.wikipedia.org/wiki/Agatha_Christie
Robert Browning (1812-1889) Poeta inglés.,Robert Browning,https://es.wikipedia.org/wiki/Robert_Browning
Terencio (195 AC-159 AC) Autor cómico latino.,Terencio,https://es.wikipedia.org/wiki/Terencio
Proverbio,Proverbio,https://es.wikipedia.org/wiki/Proverbio
Horace Mann (1796-1859) Educador estadounidense.,Horace Mann,https://es.wikipedia.org/wiki/Horace_Mann
"Ludwig Wittgenstein (1889-1951) Filósofo británico, de origen austríaco.",Ludwig Wittgenstein,https://es.wikipedia.org/wiki/Ludwig_Wittgenstein
Madame de Sévigné (1626-1696) Escritora francesa.,Madame de Sévigné,https://es.wikipedia.org/wiki/Madame_de_S%C3%A9vign%C3%A9
William James (1842-1910) Psicólogo y filósofo estadounidense.,William James,https://es.wikipedia.org/wiki/William_James
Salustio (83 AC-35 AC) Caius Sallustius Crispus. Historiador latino.,Salustio,https://es.wikipedia.org/wiki/Salustio
Auguste Comte (1798-1857) Filósofo francés.,Auguste Comte,https://es.wikipedia.org/wiki/Auguste_Comte
"Albert Schweitzer (1875-1965) Filósofo, médico y escritor alemán.",Albert Schweitzer,https://es.wikipedia.org/wiki/Albert_Schweitzer
Henry Miller (1891-1980) Escritor estadounidense.,Henry Miller,https://es.wikipedia.org/wiki/Henry_Miller
Miguel Delibes (1920-2010) Escritor español.,Miguel Delibes,https://es.wikipedia.org/wiki/Miguel_Delibes
Marqués de Sade (1740-1814) Escritor francés.,Marqués de Sade,https://es.wikipedia.org/wiki/Marqu%C3%A9s_de_Sade
"Baruch Spinoza (1632-1677) Filósofo holandés, de origen juedoespañol.",Baruch Spinoza,https://es.wikipedia.org/wiki/Baruch_Spinoza
Esquilo de Eleusis (525 AC-456 AC) Poeta trágico.,Esquilo de Eleusis,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Esquilo+de+Eleusis&go=Go&ns0=1&ns100=1&ns104=1
Galileo Galilei (1564-1642) Físico y astrónomo italiano.,Galileo Galilei,https://es.wikipedia.org/wiki/Galileo_Galilei
Thomas Alva Edison (1847-1931) Físico e inventor estadounidense.,Thomas Alva Edison,https://es.wikipedia.org/wiki/Thomas_Alva_Edison
Ramon Llull (1235-1315) Filósofo y escritor en lengua catalana.,Ramon Llull,https://es.wikipedia.org/wiki/Ramon_Llull
Jane Austen (1775-1817) Escritora británica.,Jane Austen,https://es.wikipedia.org/wiki/Jane_Austen
Simone Weil (1909-1943) Filósofa y activista política francesa.,Simone Weil,https://es.wikipedia.org/wiki/Simone_Weil
Orison Swett Marden (1850-1924) Escritor de libros de autoayuda.,Orison Swett Marden,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Orison+Swett+Marden&go=Go&ns0=1&ns100=1&ns104=1
Juan Ramón Jiménez (1881-1958) Escritor español.,Juan Ramón Jiménez,https://es.wikipedia.org/wiki/Juan_Ram%C3%B3n_Jim%C3%A9nez
Menandro de Atenas (342 adC-292 adC) Dramaturgo Griego,Menandro de Atenas,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Menandro+de+Atenas&go=Go&ns0=1&ns100=1&ns104=1
Carl Sagan (1934-1996) Astrónomo estadounidense.,Carl Sagan,https://es.wikipedia.org/wiki/Carl_Sagan
Cristina II (1626-1689) Reina de Suecia.,Cristina II,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Cristina+II&go=Go&ns0=1&ns100=1&ns104=1
Umberto Eco (1932-2016) Escritor italiano.,Umberto Eco,https://es.wikipedia.org/wiki/Umberto_Eco
José de San Martín (1778-1850) Militar y político argentino.,José de San Martín,https://es.wikipedia.org/wiki/Jos%C3%A9_de_San_Mart%C3%ADn
Adam Smith (1723-1790) Filósofo y economista escocés.,Adam Smith,https://es.wikipedia.org/wiki/Adam_Smith
San Francisco de Sales (1567-1622) Obispo y Doctor de la Iglesia.,San Francisco de Sales,https://es.wikipedia.org/wiki/Francisco_de_Sales
John Keats (1795-1821) Poeta ingles.,John Keats,https://es.wikipedia.org/wiki/John_Keats
Thomas Henry Huxley (1825-1895) Zoólogo inglés.,Thomas Henry Huxley,https://es.wikipedia.org/wiki/Thomas_Henry_Huxley
Emil Cioran (1911-1995) Escritor y filósofo rumano.,Emil Cioran,https://es.wikipedia.org/wiki/Emil_Cioran
María Zambrano (1904-1991) Filósofa y ensayista española.,María Zambrano,https://es.wikipedia.org/wiki/Mar%C3%ADa_Zambrano
Virginia Woolf (1882-1941) Novelista y editora británica.,Virginia Woolf,https://es.wikipedia.org/wiki/Virginia_Woolf
Benjamin Constant (1767-1830) Escritor y político francés.,Benjamin Constant,https://es.wikipedia.org/wiki/Benjamin_Constant
Viktor Frankl (1905-1997) Psiquiatra y psicoterapeuta austriaco.,Viktor Frankl,https://es.wikipedia.org/wiki/Viktor_Frankl
Giovanni Boccaccio (1313-1375) Escritor italiano.,Giovanni Boccaccio,https://es.wikipedia.org/wiki/Giovanni_Boccaccio
Diógenes de Sínope (412 AC-323 AC) Filósofo griego.,Diógenes de Sínope,https://es.wikipedia.org/wiki/Di%C3%B3genes_de_Sinope
Alejandro Dumas (hijo) (1824-1895) Escritor francés.,Alejandro Dumas,https://es.wikipedia.org/wiki/Alejandro_Dumas
Martin Lutero (1483-1546) Reformador alemán.,Martin Lutero,https://es.wikipedia.org/wiki/Mart%C3%ADn_Lutero
William Cowper (1731-1800) Poeta británico.,William Cowper,https://es.wikipedia.org/wiki/William_Cowper
Julián Marías (1914-2005) Filósofo español.,Julián Marías,https://es.wikipedia.org/wiki/Juli%C3%A1n_Mar%C3%ADas
Truman Capote (1924-1984) Escritor estadounidense.,Truman Capote,https://es.wikipedia.org/wiki/Truman_Capote
José Hernández (1834-1886) Periodista y poeta argentino.,José Hernández,https://es.wikipedia.org/wiki/Jos%C3%A9_Hern%C3%A1ndez
Paul Auster (1947-?) Novelista y poeta estadounidense.,Paul Auster,https://es.wikipedia.org/wiki/Paul_Auster
Fernando Savater (1947-?) Filósofo español.,Fernando Savater,https://es.wikipedia.org/wiki/Fernando_Savater
Theodore Roosevelt (1858-1919) Político estadounidense.,Theodore Roosevelt,https://es.wikipedia.org/wiki/Theodore_Roosevelt
Thomas Macaulay (1800-1859) Historiador y político británico.,Thomas Macaulay,https://es.wikipedia.org/wiki/Thomas_Macaulay
Ugo Foscolo (1778-1827) Escritor y poeta italiano.,Ugo Foscolo,https://es.wikipedia.org/wiki/Ugo_Foscolo
Oliver Goldsmith (1728-1774) Escritor británico.,Oliver Goldsmith,https://es.wikipedia.org/wiki/Oliver_Goldsmith
Indira Gandhi (1917-1984) Estadista y política hindú.,Indira Gandhi,https://es.wikipedia.org/wiki/Indira_Gandhi
Hermann Keyserling (1880-1946) Filósofo y científico alemán.,Hermann Keyserling,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Hermann+Keyserling&go=Go&ns0=1&ns100=1&ns104=1
Alfred Tennyson (1809-1892) Poeta inglés.,Alfred Tennyson,https://es.wikipedia.org/wiki/Alfred_Tennyson
Antón Chéjov (1860-1904) Dramaturgo y autor de relatos ruso.,Antón Chéjov,https://es.wikipedia.org/wiki/Ant%C3%B3n_Ch%C3%A9jov
Konrad Adenauer (1876-1967) Político alemán.,Konrad Adenauer,https://es.wikipedia.org/wiki/Konrad_Adenauer
"Gotthold Ephraim Lessing (1729-1781) Dramaturgo, crítico literario y pensador alemán.",Gotthold Ephraim Lessing,https://es.wikipedia.org/wiki/Gotthold_Ephraim_Lessing
Tito Livio (59 AC-64 AC) Historiador romano.,Tito Livio,https://es.wikipedia.org/wiki/Tito_Livio
Santiago Rusiñol i Prats (1861-1931) Pintor y escritor español.,Santiago Rusiñol i Prats,https://es.wikipedia.org/wiki/Santiago_Rusi%C3%B1ol
Margaret Thatcher (1925-2013) Ex-primer ministro de Inglaterra.,Margaret Thatcher,https://es.wikipedia.org/wiki/Margaret_Thatcher
Walter Scott (1771-1832) Escritor británico.,Walter Scott,https://es.wikipedia.org/wiki/Walter_Scott
Anaxágoras (500 A.C.-428 A.C.) Filósofo griego.,Anaxágoras,https://es.wikipedia.org/wiki/Anax%C3%A1goras
Marco Aurelio (121-180) Emperador romano.,Marco Aurelio,https://es.wikipedia.org/wiki/Marco_Aurelio
Mijail Bakunin (1814-1876) Revolucionario ruso.,Mijail Bakunin,https://es.wikipedia.org/wiki/Mija%C3%ADl_Bakunin
Marie Curie (1867-1934) Física francesa.,Marie Curie,https://es.wikipedia.org/wiki/Marie_Curie
Charles Maurice Talleyrand (1754-1838) Diplomático y estadista francés.,Charles Maurice Talleyrand,https://es.wikipedia.org/wiki/Charles_Maurice_de_Talleyrand
Gonzalo Torrente Ballester (1910-1999) Escritor español.,Gonzalo Torrente Ballester,https://es.wikipedia.org/wiki/Gonzalo_Torrente_Ballester
Tales de Mileto (624 AC-546 AC) Filósofo y matemático griego.,Tales de Mileto,https://es.wikipedia.org/wiki/Tales_de_Mileto
D. H. Lawrence (1885-1930) Novelista británico.,D. H. Lawrence,https://es.wikipedia.org/wiki/D._H._Lawrence
John Steinbeck (1902-1968) Escritor estadounidense.,John Steinbeck,https://es.wikipedia.org/wiki/John_Steinbeck
Eduardo Galeano (1940-2015) Escritor y periodista uruguayo.,Eduardo Galeano,https://es.wikipedia.org/wiki/Eduardo_Galeano
Santo Tomás de Aquino (1224-1274) Filósofo y teólogo.,Santo Tomás de Aquino,https://es.wikipedia.org/wiki/Tom%C3%A1s_de_Aquino
Alexis Tocqueville (1805-1859) Político e historiador francés.,Alexis Tocqueville,https://es.wikipedia.org/wiki/Alexis_de_Tocqueville
"Conde de Mirabeau (1749-1791) Político, escritor y orador francés.",Conde de Mirabeau,https://es.wikipedia.org/wiki/Honor%C3%A9_Gabriel_Riquetti
Diego de Saavedra Fajardo (1584-1648) Diplomático y escritor español.,Diego de Saavedra Fajardo,https://es.wikipedia.org/wiki/Diego_de_Saavedra_Fajardo
Hipócrates (s. V AC-s. IV AC) Médico griego.,Hipócrates,https://es.wikipedia.org/wiki/Hip%C3%B3crates
Máximo Gorki (1868-1936) Escritor ruso.,Máximo Gorki,https://es.wikipedia.org/wiki/M%C3%A1ximo_Gorki
John Dewey (1859-1952 ) Filósofo estadounidense.,John Dewey,https://es.wikipedia.org/wiki/John_Dewey
Benedicto XVI (1927-?) Papa de la Iglesia Católica.,Benedicto XVI,https://es.wikipedia.org/wiki/Benedicto_XVI
Isabel Allende (1942-?) Escritora chilena.,Isabel Allende,https://es.wikipedia.org/wiki/Isabel_Allende
Italo Calvino (1923-1985) Escritor italiano.,Italo Calvino,https://es.wikipedia.org/wiki/Italo_Calvino
"Carl Sandburg (1878-1967) Poeta, historiador y novelista estadounidense.",Carl Sandburg,https://es.wikipedia.org/wiki/Carl_Sandburg
Heinrich Böll (1917-1985) Escritor alemán,Heinrich Böll,https://es.wikipedia.org/wiki/Heinrich_B%C3%B6ll
Jaime Sabines (1926-1999) Poeta y político mexicano.,Jaime Sabines,https://es.wikipedia.org/wiki/Jaime_Sabines
Malcolm X (1925-1965) Activista político estadounidense.,Malcolm X,https://es.wikipedia.org/wiki/Malcolm_X
Doris Lessing (1919-2013) Novelista británica de origen iraní.,Doris Lessing,https://es.wikipedia.org/wiki/Doris_Lessing
Jack London (1876-1916) Escritor y activista americano.,Jack London,https://es.wikipedia.org/wiki/Jack_London
Haruki Murakami (1949-?) Escritor y traductor japonés.,Haruki Murakami,https://es.wikipedia.org/wiki/Haruki_Murakami
Joaquín Sabina (1949-?) Cantautor y poeta español.,Joaquín Sabina,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Sabina
Proverbio hindú,Proverbio hindú,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+hind%C3%BA&go=Go&ns0=1&ns100=1&ns104=1
Severo Catalina (1832-1871) Periodista y escritor español.,Severo Catalina,https://es.wikipedia.org/wiki/Severo_Catalina
Isaac Newton (1642-1727) Matemático y físico británico.,Isaac Newton,https://es.wikipedia.org/wiki/Isaac_Newton
Proverbio ruso,Proverbio ruso,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+ruso&go=Go&ns0=1&ns100=1&ns104=1
George Santayana (1863-1952) Filósofo y escritor español.,George Santayana,https://es.wikipedia.org/wiki/George_Santayana
Carmen Martín Gaite (1925-2000) Novelista española,Carmen Martín Gaite,https://es.wikipedia.org/wiki/Carmen_Mart%C3%ADn_Gaite
Paul Charles Bourget (1852-1935) Escritor francés.,Paul Charles Bourget,https://es.wikipedia.org/wiki/Paul_Bourget
Eugene O'Neill (1888-1953) Dramaturgo estadounidense.,Eugene O'Neill,https://es.wikipedia.org/wiki/Eugene_O%27Neill
Juan Donoso Cortés (1809-1853) Ensayista español.,Juan Donoso Cortés,https://es.wikipedia.org/wiki/Juan_Donoso_Cort%C3%A9s
Zsa Zsa Gabor (1917-2016) Actriz de origen húngaro,Zsa Zsa Gabor,https://es.wikipedia.org/wiki/Zsa_Zsa_Gabor
Alessandro Manzoni (1785-1873) Poeta y escritor italiano.,Alessandro Manzoni,https://es.wikipedia.org/wiki/Alessandro_Manzoni
Muslih-Ud-Din Saadi (1184-1291) Poeta persa.,Muslih-Ud-Din Saadi,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Muslih-Ud-Din+Saadi&go=Go&ns0=1&ns100=1&ns104=1
León Daudí (1905-1985) Escritor español.,León Daudí,https://es.wikipedia.org/wiki/Noel_Claras%C3%B3
Hipólito Taine (1828-1893) Escritor francés.,Hipólito Taine,https://es.wikipedia.org/wiki/Hippolyte_Taine
Proverbio italiano,Proverbio italiano,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+italiano&go=Go&ns0=1&ns100=1&ns104=1
Franklin D. Roosevelt (1882-1945) Político estadounidense.,Franklin D. Roosevelt,https://es.wikipedia.org/wiki/Franklin_D._Roosevelt
Proverbio inglés,Proverbio inglés,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+ingl%C3%A9s&go=Go&ns0=1&ns100=1&ns104=1
Charles Augustin Sainte-Beuve (1804-1869) Escritor y crítico literario francés.,Charles Augustin Sainte-Beuve,https://es.wikipedia.org/wiki/Charles_Augustin_Sainte-Beuve
Julio César (100 AC-44 AC) Emperador romano.,Julio César,https://es.wikipedia.org/wiki/Julio_C%C3%A9sar
John Churton Collins (1848-1908) Crítico literario inglés.,John Churton Collins,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=John+Churton+Collins&go=Go&ns0=1&ns100=1&ns104=1
Ferdinand Galiani (1728-1787) Diplomático y economista italiano.,Ferdinand Galiani,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Ferdinand+Galiani&go=Go&ns0=1&ns100=1&ns104=1
John Kenneth Galbraith (1908-2006) Econonista estadounidense.,John Kenneth Galbraith,https://es.wikipedia.org/wiki/John_Kenneth_Galbraith
Lucano (39-65) Escritor latino.,Lucano,https://es.wikipedia.org/wiki/Lucano
Laurence Sterne (1713-1768) Novelista y humorista inglés.,Laurence Sterne,https://es.wikipedia.org/wiki/Laurence_Sterne
Susan Sontag (1933-2004) Novelista y ensayista estadounidense.,Susan Sontag,https://es.wikipedia.org/wiki/Susan_Sontag
Mao Tse-Tung (1893-1976) Estadista chino.,Mao Tse-Tung,https://es.wikipedia.org/wiki/Mao_Zedong
Elías Canetti (1905-1994) Autor búlgaro en lengua alemana.,Elías Canetti,https://es.wikipedia.org/wiki/Elias_Canetti
Georges Braque (1882-1963) Pintor francés.,Georges Braque,https://es.wikipedia.org/wiki/Georges_Braque
Stefan Zweig (1881-1942) Escritor austriaco.,Stefan Zweig,https://es.wikipedia.org/wiki/Stefan_Zweig
Frank Lloyd Wright (1867-1959) Arquitecto estadounidense.,Frank Lloyd Wright,https://es.wikipedia.org/wiki/Frank_Lloyd_Wright
William Penn (1644-1718) Religioso británico.,William Penn,https://es.wikipedia.org/wiki/William_Penn
Lewis Carroll (1832-1898) Matemático y escritor británico.,Lewis Carroll,https://es.wikipedia.org/wiki/Lewis_Carroll
Orson Welles (1915-1985) Director de cine estadounidense,Orson Welles,https://es.wikipedia.org/wiki/Orson_Welles
San Bernardo de Claraval (1091-1153) Eclesiástico francés.,San Bernardo de Claraval,https://es.wikipedia.org/wiki/Bernardo_de_Claraval
Émile Zola (1840-1902) Novelista francés.,Émile Zola,https://es.wikipedia.org/wiki/%C3%89mile_Zola
Herbert Marshall McLuhan (1911-1980) Comunicólogo canadiense.,Herbert Marshall McLuhan,https://es.wikipedia.org/wiki/Marshall_McLuhan
Remy de Gourmont (1858-1915) Novelista francés.,Remy de Gourmont,https://es.wikipedia.org/wiki/Remy_de_Gourmont
Edward George Bulwer-Lytton (1803-1873) Escritor inglés.,Edward George Bulwer-Lytton,https://es.wikipedia.org/wiki/Edward_Bulwer-Lytton
Mario Puzo (1920-1999) Escritor estadounidense.,Mario Puzo,https://es.wikipedia.org/wiki/Mario_Puzo
Nadine Gordimer (1923-2014) Escritora sudafricana.,Nadine Gordimer,https://es.wikipedia.org/wiki/Nadine_Gordimer
Steve Jobs (1955-2011) Empresario e informático estadounidense.,Steve Jobs,https://es.wikipedia.org/wiki/Steve_Jobs
Ayn Rand (1905-1982) Filósofa y escritora ruso-estadounidense.,Ayn Rand,https://es.wikipedia.org/wiki/Ayn_Rand
John Dos Passos (1896-1970) Novelista y periodista estadounidense.,John Dos Passos,https://es.wikipedia.org/wiki/John_Dos_Passos
Terry Pratchett (1948-2015) Escritor británico.,Terry Pratchett,https://es.wikipedia.org/wiki/Terry_Pratchett
Proverbio turco,Proverbio turco,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+turco&go=Go&ns0=1&ns100=1&ns104=1
Paul Claudel (1868-1955) Escritor y diplomático francés.,Paul Claudel,https://es.wikipedia.org/wiki/Paul_Claudel
Henry Van Dyke (1852-1933) Escritor estadounidense.,Henry Van Dyke,https://es.wikipedia.org/wiki/Henry_van_Dyke
Arthur Schnitzler (1862-1931) Dramaturgo austríaco.,Arthur Schnitzler,https://es.wikipedia.org/wiki/Arthur_Schnitzler
Richard Bach (1936-?) Escritor y aviador estadounidense.,Richard Bach,https://es.wikipedia.org/wiki/Richard_Bach
"Eleanor Roosevelt (1884-1962) Defensora de los derechos sociales, diplomática y",Eleanor Roosevelt,https://es.wikipedia.org/wiki/Eleanor_Roosevelt
"Gabriel Marcel (1889-1973) Filósofo católico, dramaturgo y crítico francés.",Gabriel Marcel,https://es.wikipedia.org/wiki/Gabriel_Marcel
Daniel Defoe (1660-1731) Novelista y periodista inglés.,Daniel Defoe,https://es.wikipedia.org/wiki/Daniel_Defoe
Jules d'Aurevilly (1808-1889) Novelista y crítico francés.,Jules d'Aurevilly,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Jules+d%27Aurevilly&go=Go&ns0=1&ns100=1&ns104=1
Colette (1873-1954) Novelista francesa.,Colette,https://es.wikipedia.org/wiki/Colette
Jesucristo (4 AC-30) Fundador del cristianismo.,Jesucristo,https://es.wikipedia.org/wiki/Cristo
Ernest Renan (1823-1892) Escritor francés.,Ernest Renan,https://es.wikipedia.org/wiki/Ernest_Renan
Isabel de Rumania (1843-1916) Escritora rumana.,Isabel de Rumania,https://es.wikipedia.org/wiki/Isabel_de_Rumania
Francis Picabia (1879-1953) Pintor francés.,Francis Picabia,https://es.wikipedia.org/wiki/Francis_Picabia
Tristan Bernard (1866-1947) Novelista y periodista francés.,Tristan Bernard,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Tristan+Bernard&go=Go&ns0=1&ns100=1&ns104=1
